,date_time,mem.total,mem.free,mem.unit,mem.usage,cpu.total,cpu.busy,cpu.idle,cpu.usage,disk.used,disk.free,disk.usedProc,net.interface,net.tx,net.rx,net.unit,uptime.days,uptime.minutes,uptime.seconds,uptime.hours
41,2024-01-19 08:20:07,1983,1472,Mb,16,948200,169431,778768,8.0,6508752,44095080,12,eth0,44776,903809,bps,11,32.0,42.0,
42,2024-01-19 08:20:18,1983,1461,Mb,16,948211,169434,778776,2.0,6508768,44095064,12,eth0,54496,997179,bps,11,32.0,53.0,
43,2024-01-19 08:20:29,1983,1459,Mb,16,948222,169436,778785,2.0,6508788,44095044,12,eth0,60065,657531,bps,11,33.0,4.0,
44,2024-01-19 08:20:40,1983,1451,Mb,17,948232,169437,778795,38.0,6508796,44095036,12,eth0,42161,376630,bps,11,33.0,15.0,
45,2024-01-19 08:20:51,1983,1473,Mb,16,948243,169439,778803,5.0,6508808,44095024,12,eth0,43028,400264,bps,11,33.0,26.0,
46,2024-01-19 08:21:02,1983,1459,Mb,16,948254,169442,778812,2.0,6517016,44086816,12,eth0,29798,665486,bps,11,33.0,37.0,
47,2024-01-19 08:21:13,1983,1454,Mb,16,948265,169443,778821,68.0,6517040,44086792,12,eth0,25323,387764,bps,11,33.0,48.0,
48,2024-01-19 08:21:24,1983,1473,Mb,16,948276,169445,778830,3.0,6517052,44086780,12,eth0,47540,804961,bps,11,33.0,59.0,
49,2024-01-19 08:21:35,1983,1455,Mb,16,948287,169448,778839,6.0,6517072,44086760,12,eth0,40046,674241,bps,11,34.0,10.0,
50,2024-01-19 08:21:46,1983,1461,Mb,16,948298,169450,778848,2.0,6517080,44086752,12,eth0,43115,435900,bps,11,34.0,21.0,
51,2024-01-19 08:21:57,1983,1451,Mb,17,948309,169451,778857,36.0,6517096,44086736,12,eth0,22107,565390,bps,11,34.0,32.0,
52,2024-01-19 08:22:08,1983,1470,Mb,16,948320,169453,778866,4.0,6517104,44086728,12,eth0,68502,564220,bps,11,34.0,43.0,
53,2024-01-19 08:22:19,1983,1457,Mb,16,948331,169455,778875,4.0,6517132,44086700,12,eth0,49456,444864,bps,11,34.0,54.0,
54,2024-01-19 08:22:30,1983,1458,Mb,16,948342,169457,778884,51.0,6517144,44086688,12,eth0,43424,548144,bps,11,35.0,5.0,
55,2024-01-19 08:22:41,1983,1471,Mb,16,948352,169459,778893,2.0,6517164,44086668,12,eth0,49420,474291,bps,11,35.0,16.0,
56,2024-01-19 08:22:52,1983,1458,Mb,16,948363,169461,778902,1.0,6517172,44086660,12,eth0,33747,544011,bps,11,35.0,27.0,
57,2024-01-19 08:23:03,1983,1455,Mb,16,948374,169464,778910,52.0,6517196,44086636,12,eth0,35270,719604,bps,11,35.0,38.0,
58,2024-01-19 08:23:14,1983,1471,Mb,16,948385,169466,778919,2.0,6517200,44086632,12,eth0,51718,1165028,bps,11,35.0,49.0,
59,2024-01-19 08:23:25,1983,1456,Mb,16,948396,169468,778927,6.0,6517224,44086608,12,eth0,40200,796528,bps,11,36.0,,
60,2024-01-19 08:23:36,1983,1458,Mb,16,948407,169470,778936,18.0,6517236,44086596,12,eth0,44240,1083584,bps,11,36.0,11.0,
61,2024-01-19 08:23:47,1983,1444,Mb,17,948418,169472,778946,25.0,6517248,44086584,12,eth0,13648,24408,bps,11,36.0,22.0,
62,2024-01-19 08:23:58,1983,1459,Mb,16,948429,169474,778954,,6517260,44086572,12,eth0,29611,59065,bps,11,36.0,33.0,
63,2024-01-19 08:24:09,1983,1459,Mb,16,948440,169476,778963,2.0,6517276,44086556,12,eth0,48732,60174,bps,11,36.0,44.0,
64,2024-01-19 08:24:20,1983,1452,Mb,17,948451,169477,778973,44.0,6517284,44086548,12,eth0,25864,725460,bps,11,36.0,55.0,
65,2024-01-19 08:24:31,1983,1468,Mb,16,948461,169479,778981,3.0,6517300,44086532,12,eth0,51092,408540,bps,11,37.0,6.0,
66,2024-01-19 08:24:42,1983,1454,Mb,16,948472,169482,778990,3.0,6517312,44086520,12,eth0,69102,1047217,bps,11,37.0,17.0,
67,2024-01-19 08:24:53,1983,1451,Mb,17,948483,169483,778999,59.0,6517332,44086500,12,eth0,27828,669865,bps,11,37.0,28.0,
68,2024-01-19 08:25:04,1983,1466,Mb,16,948494,169485,779008,2.0,6517336,44086496,12,eth0,52502,614284,bps,11,37.0,39.0,
69,2024-01-19 08:25:15,1983,1452,Mb,17,948505,169487,779017,6.0,6517352,44086480,12,eth0,30038,191284,bps,11,37.0,50.0,
70,2024-01-19 08:25:26,1983,1449,Mb,17,948516,169489,779026,31.0,6517364,44086468,12,eth0,48790,401760,bps,11,38.0,1.0,
71,2024-01-19 08:25:37,1983,1464,Mb,16,948527,169491,779035,6.0,6517376,44086456,12,eth0,25067,414001,bps,11,38.0,12.0,
72,2024-01-19 08:25:48,1983,1452,Mb,17,948538,169493,779044,2.0,6517396,44086436,12,eth0,41012,254129,bps,11,38.0,23.0,
73,2024-01-19 08:25:59,1983,1453,Mb,17,948548,169495,779053,2.0,6517408,44086424,12,eth0,39876,442942,bps,11,38.0,34.0,
74,2024-01-19 08:26:10,1983,1440,Mb,17,948559,169497,779062,62.0,6517548,44086284,12,eth0,38488,586849,bps,11,38.0,45.0,
75,2024-01-19 08:26:21,1983,1466,Mb,16,948570,169499,779071,3.0,6517432,44086400,12,eth0,34790,459848,bps,11,38.0,56.0,
76,2024-01-19 08:26:32,1983,1454,Mb,16,948581,169501,779080,2.0,6517448,44086384,12,eth0,40716,792432,bps,11,39.0,7.0,
77,2024-01-19 08:26:43,1983,1453,Mb,17,948592,169502,779089,70.0,6517468,44086364,12,eth0,19241,448860,bps,11,39.0,18.0,
78,2024-01-19 08:26:54,1983,1467,Mb,16,948603,169504,779098,2.0,6517472,44086360,12,eth0,34660,557564,bps,11,39.0,29.0,
79,2024-01-19 08:27:05,1983,1452,Mb,17,948614,169507,779107,4.0,6517496,44086336,12,eth0,30308,390977,bps,11,39.0,40.0,
80,2024-01-19 08:27:16,1983,1450,Mb,17,948625,169508,779116,31.0,6517508,44086324,12,eth0,39476,898809,bps,11,39.0,51.0,
81,2024-01-19 08:27:27,1983,1442,Mb,17,948635,169510,779125,30.0,6517520,44086312,12,eth0,34689,627758,bps,11,40.0,2.0,
82,2024-01-19 08:27:38,1983,1467,Mb,16,948646,169512,779134,4.0,6517532,44086300,12,eth0,67147,463424,bps,11,40.0,13.0,
83,2024-01-19 08:27:49,1983,1453,Mb,17,948657,169514,779143,3.0,6517548,44086284,12,eth0,35372,762265,bps,11,40.0,24.0,
84,2024-01-19 08:28:00,1983,1453,Mb,17,948668,169516,779152,46.0,6517560,44086272,12,eth0,50300,487206,bps,11,40.0,35.0,
85,2024-01-19 08:28:11,1983,1437,Mb,17,948679,169517,779161,30.0,6517572,44086260,12,eth0,41265,478182,bps,11,40.0,46.0,
86,2024-01-19 08:28:22,1983,1452,Mb,17,948690,169519,779170,3.0,6517596,44086236,12,eth0,38635,915992,bps,11,40.0,57.0,
87,2024-01-19 08:28:33,1983,1450,Mb,17,948701,169521,779179,2.0,6517612,44086220,12,eth0,39142,656414,bps,11,41.0,8.0,
88,2024-01-19 08:28:44,1983,1446,Mb,17,948712,169523,779188,57.0,6517620,44086212,12,eth0,26483,619616,bps,11,41.0,19.0,
89,2024-01-19 08:28:55,1983,1465,Mb,16,948722,169525,779197,4.0,6517636,44086196,12,eth0,33708,648942,bps,11,41.0,30.0,
90,2024-01-19 08:29:06,1983,1451,Mb,17,948733,169527,779206,2.0,6517644,44086188,12,eth0,37019,459731,bps,11,41.0,41.0,
91,2024-01-19 08:29:17,1983,1448,Mb,17,948744,169529,779215,2.0,6517664,44086168,12,eth0,47950,1271465,bps,11,41.0,52.0,
92,2024-01-19 08:29:28,1983,1443,Mb,17,948755,169530,779225,41.0,6517676,44086156,12,eth0,29904,889537,bps,11,42.0,3.0,
93,2024-01-19 08:29:39,1983,1464,Mb,16,948766,169532,779233,3.0,6517688,44086144,12,eth0,51897,672288,bps,11,42.0,14.0,
94,2024-01-19 08:29:50,1983,1452,Mb,17,948777,169534,779242,2.0,6517704,44086128,12,eth0,45782,615296,bps,11,42.0,25.0,
95,2024-01-19 08:30:01,1983,1448,Mb,17,948788,169536,779251,67.0,6517724,44086108,12,eth0,28963,1146601,bps,11,42.0,36.0,
96,2024-01-19 08:30:12,1983,1462,Mb,16,948799,169538,779260,6.0,6517732,44086100,12,eth0,62577,1202504,bps,11,42.0,47.0,
97,2024-01-19 08:30:23,1983,1450,Mb,17,948809,169540,779268,2.0,6517752,44086080,12,eth0,36622,889003,bps,11,42.0,58.0,
98,2024-01-19 08:30:34,1983,1448,Mb,17,948820,169542,779278,56.0,6517764,44086068,12,eth0,44128,647881,bps,11,43.0,9.0,
99,2024-01-19 08:30:45,1983,1464,Mb,16,948831,169544,779287,5.0,6517776,44086056,12,eth0,48115,515174,bps,11,43.0,20.0,
100,2024-01-19 08:30:56,1983,1450,Mb,17,948842,169546,779296,2.0,6517792,44086040,12,eth0,32601,447120,bps,11,43.0,31.0,
101,2024-01-19 08:31:07,1983,1448,Mb,17,948853,169548,779304,5.0,6517808,44086024,12,eth0,40161,760657,bps,11,43.0,42.0,
102,2024-01-19 08:31:18,1983,1440,Mb,17,948864,169549,779314,36.0,6517820,44086012,12,eth0,19620,1119732,bps,11,43.0,53.0,
103,2024-01-19 08:31:29,1983,1449,Mb,17,948875,169552,779323,6.0,6517828,44086004,12,eth0,35723,1067065,bps,11,44.0,4.0,
104,2024-01-19 08:31:40,1983,1436,Mb,17,948885,169553,779332,56.0,6518012,44085820,12,eth0,40219,726868,bps,11,44.0,15.0,
105,2024-01-19 08:31:51,1983,1463,Mb,16,948896,169555,779341,4.0,6517852,44085980,12,eth0,52286,558334,bps,11,44.0,26.0,
