,date_time,bitrate_out,bitrate,ts,streamId
113,2024-01-19 08:16:25,326,326,1705695385,input_1
114,2024-01-19 08:16:27,261,261,1705695387,input_1
115,2024-01-19 08:16:29,417,417,1705695389,input_1
116,2024-01-19 08:16:31,371,371,1705695391,input_1
117,2024-01-19 08:16:33,428,428,1705695393,input_1
118,2024-01-19 08:16:35,397,397,1705695395,input_1
119,2024-01-19 08:16:37,412,412,1705695397,input_1
120,2024-01-19 08:16:39,405,405,1705695399,input_1
121,2024-01-19 08:16:41,471,471,1705695401,input_1
122,2024-01-19 08:16:43,72,72,1705695403,input_1
123,2024-01-19 08:16:45,322,322,1705695405,input_1
124,2024-01-19 08:16:47,402,402,1705695407,input_1
125,2024-01-19 08:16:49,536,536,1705695409,input_1
126,2024-01-19 08:16:51,341,341,1705695411,input_1
127,2024-01-19 08:16:53,102,102,1705695413,input_1
128,2024-01-19 08:16:55,280,280,1705695415,input_1
129,2024-01-19 08:16:57,443,443,1705695417,input_1
130,2024-01-19 08:16:59,462,462,1705695419,input_1
131,2024-01-19 08:17:01,397,397,1705695421,input_1
132,2024-01-19 08:17:03,301,301,1705695423,input_1
133,2024-01-19 08:17:05,300,300,1705695425,input_1
134,2024-01-19 08:17:07,103,103,1705695427,input_1
135,2024-01-19 08:17:09,211,211,1705695429,input_1
136,2024-01-19 08:17:11,473,473,1705695431,input_1
137,2024-01-19 08:17:13,458,458,1705695433,input_1
138,2024-01-19 08:17:15,398,398,1705695435,input_1
139,2024-01-19 08:17:17,523,523,1705695437,input_1
140,2024-01-19 08:17:19,648,648,1705695439,input_1
141,2024-01-19 08:17:21,462,462,1705695441,input_1
142,2024-01-19 08:17:23,642,642,1705695443,input_1
143,2024-01-19 08:17:25,224,224,1705695445,input_1
144,2024-01-19 08:17:27,257,257,1705695447,input_1
145,2024-01-19 08:17:29,521,521,1705695449,input_1
146,2024-01-19 08:17:31,606,606,1705695451,input_1
147,2024-01-19 08:17:33,221,221,1705695453,input_1
148,2024-01-19 08:17:35,313,313,1705695455,input_1
149,2024-01-19 08:17:37,341,341,1705695457,input_1
150,2024-01-19 08:17:39,334,334,1705695459,input_1
151,2024-01-19 08:17:41,266,266,1705695461,input_1
152,2024-01-19 08:17:43,354,354,1705695463,input_1
153,2024-01-19 08:17:45,642,642,1705695465,input_1
154,2024-01-19 08:17:47,789,789,1705695467,input_1
155,2024-01-19 08:17:49,706,706,1705695469,input_1
156,2024-01-19 08:17:51,257,257,1705695471,input_1
157,2024-01-19 08:17:53,499,499,1705695473,input_1
158,2024-01-19 08:17:55,329,329,1705695475,input_1
159,2024-01-19 08:17:57,139,139,1705695477,input_1
160,2024-01-19 08:17:59,219,219,1705695479,input_1
161,2024-01-19 08:18:01,342,342,1705695481,input_1
162,2024-01-19 08:18:03,359,359,1705695483,input_1
163,2024-01-19 08:18:05,360,360,1705695485,input_1
164,2024-01-19 08:18:07,165,165,1705695487,input_1
165,2024-01-19 08:18:09,279,279,1705695489,input_1
166,2024-01-19 08:18:11,262,262,1705695491,input_1
167,2024-01-19 08:18:13,273,273,1705695493,input_1
168,2024-01-19 08:18:15,311,311,1705695495,input_1
169,2024-01-19 08:18:17,536,536,1705695497,input_1
170,2024-01-19 08:18:19,1065,1065,1705695499,input_1
